"profile id","#friends","#following","#community","age","#postshared","#urlshared","#photos/videos","fpurls","fpphotos/videos","avgcomment/post","likes/post","tags/post","#tags/post","Label"
"137","653","1124","81","677","712","81","644","0.11376404494382","0.90449438202247","0.229","1.21","96","5","0"
"138","1523","1051","75","699","901","91","661","0.10099889012209","0.73362930077691","0.226","1.22","41","10","0"
"139","1464","877","61","688","906","21","644","0.02317880794702","0.71081677704194","0.356","1.02","21","23","0"
"140","1321","871","48","781","806","54","771","0.066997518610422","0.95657568238213","0.67","1.09","28","17","0"
"141","845","868","41","981","709","34","697","0.047954866008463","0.98307475317348","0.36","1.08","27","25","0"
"142","945","2100","39","991","708","89","688","0.12570621468927","0.97175141242938","0.49","1.07","57","14","0"
"143","1654","1981","25","1324","727","87","703","0.11966987620358","0.96698762035763","0.473","1.06","47","12","0"
"144","1459","1743","65","1365","827","77","804","0.09310761789601","0.97218863361548","0.216","0.69","37","8","0"
"145","1651","1624","85","1369","927","71","901","0.076591154261057","0.97195253505933","0.28","0.68","88","6","0"
"146","1793","1549","63","598","947","86","597","0.090813093980993","0.63041182682154","0.19","0.85","77","13","0"
"147","1543","659","43","1125","847","66","813","0.077922077922078","0.95985832349469","0.93","0.84","99","19","0"
"148","873","658","53","1743","893","65","866","0.072788353863382","0.96976483762598","0.113","0.81","66","27","0"
"149","977","988","67","477","793","61","773","0.076923076923077","0.97477931904161","0.243","0.93","33","18","0"
"150","1652","954","84","597","904","59","876","0.065265486725664","0.96902654867257","0.381","0.98","44","29","0"
"151","1102","931","91","771","1021","31","884","0.030362389813908","0.86581782566112","0.245","1.02","96","24","0"
"152","1021","859","93","1145","1156","41","991","0.035467128027682","0.85726643598616","0.263","1.12","81","11","0"
"153","1066","836","81","1513","1211","49","1109","0.040462427745665","0.91577208918249","0.289","1.16","38","7","0"
"154","1054","1136","37","1718","1693","51","1114","0.030124040165387","0.65800354400473","0.381","0.94","49","15","0"
"155","498","1129","29","919","781","55","751","0.070422535211268","0.96158770806658","0.116","0.91","55","28","0"
"156","1369","1294","28","961","749","45","743","0.060080106809079","0.99198931909212","0.12","0.89","58","10","0"
"157","1321","1398","36","932","658","65","619","0.098784194528875","0.94072948328267","0.31","0.88","64","8","0"
"158","1391","1367","48","1164","1029","85","998","0.082604470359572","0.96987366375121","0.43","0.78","59","23","0"
"159","1296","2006","47","1321","1151","95","1014","0.082536924413553","0.88097306689835","0.45","0.96","69","20","0"
"160","599","2096","59","2221","2149","33","2001","0.015355979525361","0.93113075849232","0.91","1.06","94","25","0"
"161","922","771","91","944","657","23","614","0.035007610350076","0.93455098934551","0.81","1.11","91","14","0"
"162","843","779","92","1315","891","83","818","0.093153759820426","0.91806958473625","0.114","1.23","81","13","0"
"163","831","993","98","1914","843","73","831","0.086595492289442","0.98576512455516","0.159","1.14","71","17","0"
"164","1651","1036","96","1615","869","48","821","0.055235903337169","0.94476409666283","0.179","1.19","79","19","0"
"165","1633","1059","65","1123","821","58","817","0.070645554202192","0.99512789281364","0.184","1.18","64","9","0"
"166","1421","1064","64","1159","1169","88","1041","0.075278015397776","0.89050470487596","0.412","1.28","63","7","0"
"167","1141","1158","66","1415","1143","78","1031","0.068241469816273","0.90201224846894","0.422","1.25","61","6","0"
"168","1001","1269","63","1567","1329","79","1121","0.059443190368698","0.84349134687735","0.361","0.77","54","12","0"
"169","919","1238","33","1691","1381","97","1317","0.070238957277335","0.95365677045619","0.315","1.04","45","26","0"
"170","741","789","25","1914","1354","94","1329","0.069423929098966","0.98153618906942","0.312","1.08","46","27","0"
"171","633","981","22","1744","1362","46","1211","0.033773861967695","0.88913362701909","0.15","1.07","39","21","0"
"172","688","856","37","944","712","36","693","0.050561797752809","0.97331460674157","0.65","1.05","31","24","0"
"173","676","1317","47","913","816","33","801","0.040441176470588","0.98161764705882","0.39","1.15","33","29","0"
"174","1196","1357","87","927","914","25","903","0.027352297592998","0.98796498905908","0.58","1.23","51","11","0"
"175","1174","1452","81","1017","913","45","881","0.049288061336254","0.96495071193866","0.67","1.24","56","16","0"
"176","1431","1444","61","1419","1412","35","1311","0.024787535410765","0.92847025495751","0.191","1.1","74","13","0"
"177","1425","1324","41","1916","1467","54","1314","0.03680981595092","0.89570552147239","0.291","1.01","71","14","0"
"178","1658","994","51","1813","1436","34","1401","0.023676880222841","0.97562674094708","0.351","0.87","91","28","0"
"179","1135","944","31","2109","1581","24","1481","0.015180265654649","0.93674889310563","0.349","0.88","88","12","0"
"180","1026","844","77","1931","1612","64","1512","0.03970223325062","0.93796526054591","0.359","0.99","84","9","0"
"181","1329","744","99","1943","1712","71","1683","0.041471962616822","0.98306074766355","0.334","0.92","66","8","0"
"182","591","1145","93","443","399","61","382","0.15288220551378","0.95739348370927","0.411","0.98","51","11","0"
"183","991","1187","71","544","535","51","524","0.095327102803738","0.97943925233645","0.141","0.87","23","21","0"
"184","848","1582","67","599","544","31","533","0.056985294117647","0.97977941176471","0.155","0.99","33","23","0"
"185","783","1161","57","671","455","49","423","0.10769230769231","0.92967032967033","0.15","1.02","49","24","0"
"186","1311","1254","86","478","498","47","446","0.094377510040161","0.89558232931727","0.166","1.06","81","29","0"
"187","1901","1158","84","771","1123","37","1006","0.032947462154942","0.89581478183437","0.171","1.05","71","28","0"
"188","1245","814","54","1197","1199","27","1100","0.022518765638032","0.91743119266055","0.433","1.08","61","17","0"
"189","1211","911","27","1167","1181","57","1036","0.048264182895851","0.87722269263336","0.411","1.09","58","18","0"
"190","1231","719","77","1155","1236","98","1046","0.079288025889968","0.8462783171521","0.412","1.06","44","16","0"
"191","891","1121","57","1177","1781","58","1188","0.032565974171814","0.66704098820887","0.413","1.12","34","14","0"
"192","1121","1494","37","1319","1655","64","1277","0.038670694864048","0.77160120845921","0.418","0.97","54","13","0"
"193","1911","1394","67","1416","1444","61","1344","0.042243767313019","0.93074792243767","0.419","0.88","64","12","0"
"194","2101","1277","48","1466","1344","31","1311","0.023065476190476","0.97544642857143","0.426","0.68","84","10","0"
"195","1713","1377","44","1966","1433","81","1413","0.05652477320307","0.98604326587579","0.121","0.78","94","9","0"
"197","1613","1287","54","1978","1366","77","1357","0.056368960468521","0.99341142020498","0.196","0.79","74","8","0"
"198","1694","1188","34","1811","1397","59","1388","0.042233357193987","0.99355762347888","0.188","0.73","14","6","0"
"199","1513","1198","24","711","693","69","654","0.0995670995671","0.94372294372294","0.29","0.74","24","26","0"
"200","744","911","45","811","775","63","712","0.081290322580645","0.91870967741935","0.26","1.22","88","24","0"
"201","582","652","24","852","652","25","642","0.038343558282209","0.98466257668712","0.199","1.19","99","21","0"
"202","652","785","55","985","786","42","765","0.053435114503817","0.97328244274809","0.211","0.122","52","18","0"
"203","1222","1235","56","1325","1524","45","1324","0.029527559055118","0.86876640419948","0.231","0.147","54","14","0"
"204","852","963","57","862","975","46","945","0.047179487179487","0.96923076923077","0.321","0.147","57","15","0"
"205","745","856","58","754","765","48","742","0.062745098039216","0.96993464052288","0.258","0.541","56","16","0"
"206","564","654","59","625","652","49","685","0.075153374233129","1.0506134969325","0.658","0.654","55","16","0"
"207","652","752","60","852","678","47","785","0.069321533923304","1.1578171091445","0.852","0.752","54","17","0"
"208","456","545","61","546","565","46","786","0.068521","1.3911504424779","0.962","0.852","56","18","0"
"209","654","754","61","785","564","48","561","0.085106382978723","0.99468085106383","0.632","0.258","54","19","0"
"210","785","852","62","795","852","49","752","0.057511737089202","0.88262910798122","0.542","0.852","55","9","0"
"211","564","654","41","741","582","41","502","0.070446735395189","0.86254295532646","0.963","0.258","56","10","0"
"212","639","658","42","674","610","42","625","0.068852459016393","1.0245901639344","0.582","0.369","57","8","0"
"213","963","1012","45","987","956","42","895","0.043933054393305","0.93619246861925","0.632","0.525","55","9","0"
"214","975","1122","46","996","945","43","896","0.045502645502646","0.94814814814815","0.785","0.582","56","7","0"
"215","896","875","36","900","852","45","845","0.052816901408451","0.99178403755869","0.452","0.586","55","8","0"
"216","785","795","37","805","750","44","750","0.058666666666667","1","0.789","0.854","54","6","0"
"217","856","865","38","880","840","45","841","0.053571428571429","1.0011904761905","0.865","0.541","45","6","0"
"218","892","921","39","925","852","46","900","0.053990610328638","1.056338028169","0.255","0.852","46","4","0"
"219","952","1023","40","965","940","36","945","0.038297872340426","1.0053191489362","0.632","0.585","45","15","0"
"220","1112","1211","36","1125","999","25","978","0.025025025025025","0.97897897897898","0.987","0.654","37","16","0"
"221","1211","1321","65","1225","1150","26","1099","0.022608695652174","0.95565217391304","0.256","0.215","32","14","0"
"222","1215","1235","75","1225","1198","24","1152","0.020033388981636","0.96160267111853","0.369","0.147","38","15","0"
"223","1256","1260","69","1302","1196","27","1156","0.02257525083612","0.96655518394649","0.258","0.741","37","16","0"
"224","1325","1452","48","1450","1296","28","1256","0.021604938271605","0.96913580246914","0.236","0.745","35","14","0"
"225","1489","1500","31","1398","1325","29","1395","0.02188679245283","1.0528301886792","0.325","0.852","36","15","0"
"226","652","752","28","640","559","25","540","0.044722719141324","0.96601073345259","0.256","0.236","35","16","0"
"227","785","852","36","750","685","28","650","0.040875912408759","0.94890510948905","0.321","0.654","25","17","0"
"228","852","785","25","760","690","29","660","0.042028985507246","0.95652173913043","0.654","0.123","23","18","0"
"229","987","654","25","856","789","30","741","0.038022813688213","0.93916349809886","0.852","0.963","25","19","0"
"230","1012","998","26","963","987","21","852","0.021276595744681","0.86322188449848","0.654","0.395","26","18","0"
"231","1102","1025","27","996","985","45","978","0.045685279187817","0.99289340101523","0.741","0.756","25","8","0"
"232","1421","1325","36","1232","1254","46","1125","0.036682615629984","0.89712918660287","0.852","0.741","26","9","0"
"233","1325","1232","38","1123","1025","45","996","0.04390243902439","0.97170731707317","0.879","0.965","27","11","0"
"234","1235","1125","36","1210","1198","45","999","0.037562604340568","0.8338898163606","0.789","0.258","28","12","0"
"235","1369","1299","48","1190","1095","16","985","0.014611872146119","0.89954337899543","0.147","0.258","26","13","0"
"236","1245","1235","26","1158","1082","21","952","0.019408502772643","0.87985212569316","0.369","0.265","28","16","0"
"237","1125","1098","56","1110","995","29","985","0.029145728643216","0.98994974874372","0.456","0.369","30","15","0"
"238","852","785","21","845","835","36","802","0.04311377245509","0.96047904191617","0.369","0.654","25","16","0"
"239","1025","962","45","845","865","25","836","0.028901734104046","0.96647398843931","0.456","0.654","25","18","0"
"240","895","885","46","876","856","23","846","0.026869158878505","0.98831775700935","0.632","0.546","24","19","0"
"241","1335","1255","65","1198","1089","54","1078","0.049586776859504","0.98989898989899","0.125","0.321","36","18","0"
"242","784","754","24","743","654","56","640","0.085626911314985","0.97859327217125","0.258","0.256","34","19","0"
"243","890","880","56","864","850","54","780","0.063529411764706","0.91764705882353","0.265","0.235","54","20","0"
"244","995","985","52","950","940","25","850","0.026595744680851","0.90425531914894","0.854","0.875","25","15","0"
"245","1032","962","25","940","890","23","750","0.025842696629213","0.84269662921348","0.564","0.852","56","16","0"
"246","851","925","56","910","850","24","810","0.028235294117647","0.95294117647059","0.789","0.896","52","14","0"
"247","1456","1489","45","1465","1430","48","1320","0.033566433566434","0.92307692307692","0.564","0.236","58","16","0"
"248","1430","1340","16","1440","1420","60","1320","0.042253521126761","0.92957746478873","0.258","0.336","60","17","0"
"249","1500","1490","25","1520","1450","56","1440","0.038620689655172","0.99310344827586","0.325","0.456","45","18","0"
"250","1330","1220","48","1350","1250","85","1230","0.068","0.984","0.963","0.875","46","18","0"
"251","1236","1190","54","1250","1240","58","1238","0.046774193548387","0.99838709677419","0.895","0.693","46","17","0"
"252","950","940","53","960","956","11","954","0.011506276150628","0.9979079497908","0.258","0.369","43","14","0"
"253","1150","1130","56","1170","1158","13","1153","0.011226252158895","0.99568221070812","0.321","0.456","48","17","0"
"254","1054","1051","58","1060","1056","15","1048","0.014204545454545","0.99242424242424","0.485","0.785","38","18","0"
"255","852","845","45","870","860","16","855","","0.99418604651163","0.357","0.452","23","16","0"
"256","963","954","46","980","970","18","956","0.018556701030928","0.98556701030928","0.486","0.62","24","15","0"
"257","975","964","34","1000","980","20","979","","0.99897959183673","0.246","0.624","26","14","0"
"258","556","612","33","656","640","21","633","0.0328125","0.9890625","0.456","0.148","24","16","0"
"259","650","640","35","670","650","22","644","0.033846153846154","0.99076923076923","0.369","0.546","25","17","0"
"260","1458","1440","36","1480","1475","23","1469","0.015593220338983","0.99593220338983","0.157","0.269","26","18","0"
"261","1369","1330","37","1420","1390","25","1379","0.017985611510791","0.99208633093525","0.659","0.748","27","19","0"
"262","1379","1369","39","1430","1399","26","1380","0.018584703359543","0.98641887062187","0.265","0.325","28","20","0"
"263","1156","1140","40","1201","1200","27","1199","0.0225","0.99916666666667","0.147","0.258","29","10","0"
"264","1087","1060","41","1101","1088","28","1077","0.025735294117647","0.98988970588235","0.369","0.256","30","11","0"
"265","1254","1233","42","1302","1260","29","1240","0.023015873015873","0.98412698412698","0.154","0.126","40","12","0"
"266","1178","1120","43","1292","1190","30","1180","0.025210084033613","0.99159663865546","0.265","0.215","41","13","0"
"267","1180","1150","44","1205","1195","31","1185","0.025941422594142","0.99163179916318","0.458","0.965","42","14","0"
"268","1232","1198","45","1254","1220","32","1210","0.026229508196721","0.99180327868852","0.417","0.564","43","15","0"
"269","1245","1220","46","1260","1180","33","1178","0.027966101694915","0.99830508474576","0.265","0.365","44","16","0"
"270","1265","1245","47","1270","1190","34","1178","0.028571428571429","0.98991596638655","0.956","0.895","45","17","0"
"271","1045","1032","48","1102","1105","35","1100","0.031674208144796","0.99547511312217","0.258","0.369","46","18","0"
"272","1456","1410","49","1469","1390","36","1350","0.02589928057554","0.97122302158273","0.325","0.452","47","19","0"
"273","1250","1247","50","1302","1156","37","1140","0.032006920415225","0.98615916955017","0.789","0.456","48","20","0"
"274","958","900","20","1010","950","38","940","0.04","0.98947368421053","0.965","0.123","49","1","0"
"275","999","950","21","1100","1000","39","998","0.039","0.998","0.369","0.258","50","2","0"
"276","854","840","22","910","900","40","860","0.044444444444444","0.95555555555556","0.265","0.418","30","3","0"
"277","905","880","23","930","950","41","939","0.043157894736842","0.98842105263158","0.958","0.589","31","4","0"
"278","1021","998","24","1102","1150","42","1140","0.036521739130435","0.99130434782609","0.258","0.963","32","5","0"
"279","1253","1110","25","1300","1105","43","1098","0.038914027149321","0.99366515837104","0.852","0.956","33","1","0"
